#ZVView-data-copy:  22-Jun-2021 19:05:12
#=======================================
#
#name:   ENDF/B-VII.1: HE-3(HE3,2P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  260
#data...
#            X            Y
#          MeV        barns
      0.483606  0.000951082 
      0.494475   0.00103679 
      0.512057   0.00118011 
       0.52129   0.00125905 
      0.535453   0.00138748 
      0.562095   0.00164634 
      0.578375   0.00181412 
      0.592703   0.00197148 
           0.6    0.0020552 
      0.611673    0.0021824 
      0.632651   0.00242423 
      0.655038   0.00270171 
      0.670754    0.0029089 
      0.690112   0.00317861 
           0.7    0.0033227 
      0.723762   0.00364827 
      0.742112   0.00391322 
      0.770513   0.00434715 
           0.8    0.0048292 
      0.823907   0.00520501 
      0.861113   0.00582427 
           0.9    0.0065172 
      0.942457   0.00725861 
      0.980439   0.00796088 
             1    0.0083371 
       1.04881   0.00924465 
       1.17418     0.011702 
       1.27424    0.0137222 
       1.44914    0.0173471 
           1.6     0.020573 
       1.74929    0.0238493 
           1.9     0.027289 
             2     0.029658 
       2.36435    0.0363354 
             3      0.04825 
           3.5      0.05643 
             4      0.06404 
           4.5      0.07047 
             5      0.07602 
           5.5     0.080293 
           6.5     0.086661 
           7.5     0.092421 
           8.5     0.097571 
           9.5      0.10211 
       10.4881     0.105949 
            11      0.10778 
            12       0.1108 
            13      0.11321 
            14      0.11501 
            15      0.11621 
            16      0.11679 
            17      0.11676 
            18      0.11613 
            19      0.11489 
            20      0.11303 
//
#-------------------------------------------------------------------------------
