#E,eV        Sig,b        Interpolation
 9.52692568e-01 153.249695 Lin-Lin
 1.05085504e+00 145.925400 Lin-Lin
 1.15913200e+00 138.951828 Lin-Lin
 1.27856541e+00 132.299561 Lin-Lin
 1.41030490e+00 125.970085 Lin-Lin
 1.55561841e+00 119.936905 Lin-Lin
 1.71590459e+00 114.180786 Lin-Lin
 1.89270616e+00 108.715004 Lin-Lin
 2.08772492e+00 103.513016 Lin-Lin
 2.30283761e+00 98.568565 Lin-Lin
 2.54011512e+00 93.843681 Lin-Lin
 2.80184078e+00 89.362289 Lin-Lin
 3.11233473e+00 84.790382 Lin-Lin
 3.43302035e+00 80.714157 Lin-Lin
 3.78674817e+00 76.854362 Lin-Lin
 4.17692327e+00 73.175148 Lin-Lin
 4.60730076e+00 69.683304 Lin-Lin
 5.11762094e+00 66.103989 Lin-Lin
 5.64492464e+00 62.956142 Lin-Lin
 6.22656059e+00 59.946327 Lin-Lin
 6.86812639e+00 57.057880 Lin-Lin
 7.57579708e+00 54.333702 Lin-Lin
 8.41533089e+00 51.552685 Lin-Lin
 9.28242111e+00 49.081249 Lin-Lin
 1.02388535e+01 46.734142 Lin-Lin
 1.12938337e+01 44.492714 Lin-Lin
 1.24575157e+01 42.372456 Lin-Lin
 1.36448479e+01 40.477482 Lin-Lin
 1.51569414e+01 38.405132 Lin-Lin
 1.69545364e+01 36.309570 Lin-Lin
 1.87014809e+01 34.571915 Lin-Lin
 2.06284237e+01 32.919403 Lin-Lin
 2.25945301e+01 31.450155 Lin-Lin
 2.47492409e+01 30.058226 Lin-Lin
 2.69195404e+01 28.813461 Lin-Lin
 2.94852562e+01 27.534237 Lin-Lin
 3.20708656e+01 26.403557 Lin-Lin
 3.48832092e+01 25.311703 Lin-Lin
 3.79421730e+01 24.269136 Lin-Lin
 4.12693825e+01 23.269712 Lin-Lin
 4.52050056e+01 22.230669 Lin-Lin
 4.91691055e+01 21.321791 Lin-Lin
 5.34808197e+01 20.438272 Lin-Lin
 5.81706390e+01 19.599369 Lin-Lin
 6.28285141e+01 18.857323 Lin-Lin
 6.88201141e+01 18.014687 Lin-Lin
 7.53793945e+01 17.213818 Lin-Lin
 8.19895325e+01 16.506330 Lin-Lin
 8.98084030e+01 15.767557 Lin-Lin
 9.83680878e+01 15.067266 Lin-Lin
 1.06994141e+02 14.445962 Lin-Lin
 1.15567116e+02 13.900930 Lin-Lin
 1.28367722e+02 13.184659 Lin-Lin
 1.38653259e+02 12.693753 Lin-Lin
 1.49755600e+02 12.208795 Lin-Lin
 1.66351196e+02 11.581186 Lin-Lin
 1.80938797e+02 11.107219 Lin-Lin
 1.95427032e+02 10.685936 Lin-Lin
 2.14063797e+02 10.210120 Lin-Lin
 2.31204437e+02 9.825144 Lin-Lin
 2.56826019e+02 9.318614 Lin-Lin
 2.77390778e+02 8.971875 Lin-Lin
 2.99616882e+02 8.628909 Lin-Lin
 3.32803467e+02 8.185500 Lin-Lin
 3.61987518e+02 7.850506 Lin-Lin
 3.90992004e+02 7.552696 Lin-Lin
 4.25278717e+02 7.241694 Lin-Lin
 4.62572083e+02 6.945885 Lin-Lin
 5.13808105e+02 6.589094 Lin-Lin
 5.51089844e+02 6.366381 Lin-Lin
 5.99415833e+02 6.103029 Lin-Lin
 6.65841797e+02 5.790291 Lin-Lin
 7.19157532e+02 5.573088 Lin-Lin
 7.82221558e+02 5.344278 Lin-Lin
 8.62819275e+02 5.086517 Lin-Lin
 9.38481262e+02 4.875113 Lin-Lin
 9.99575500e+02 4.721178 Lin-Lin
 1.99975830e+03 3.339690 Lin-Lin
 4.00092798e+03 2.365349 Lin-Lin
 6.48721436e+03 1.863588 Lin-Lin
 1.00000000e+04 1.508137 Lin-Lin
 1.25000000e+04 1.350083 Lin-Lin
 1.52086318e+04 1.235239 Lin-Lin
 1.74957715e+04 1.150195 Lin-Lin
 2.02821641e+04 1.082131 Lin-Lin
 2.50000000e+04 0.984035 Lin-Lin
 3.02056816e+04 0.907696 Lin-Lin
 3.52383750e+04 0.851902 Lin-Lin
 4.02821641e+04 0.808081 Lin-Lin
 4.56348672e+04 0.772572 Lin-Lin
 5.03527031e+04 0.747660 Lin-Lin
 6.04113633e+04 0.710054 Lin-Lin
 7.04767500e+04 0.687523 Lin-Lin
 8.00000000e+04 0.678011 Lin-Lin
 9.06348672e+04 0.679698 Lin-Lin
 1.00000000e+05 0.690014 Lin-Lin
 1.10000000e+05 0.713015 Lin-Lin
 1.20000000e+05 0.748019 Lin-Lin
 1.30000000e+05 0.798027 Lin-Lin
 1.40000000e+05 0.868032 Lin-Lin
 1.50000000e+05 0.961047 Lin-Lin
 1.60000000e+05 1.087060 Lin-Lin
 1.70000000e+05 1.254038 Lin-Lin
 1.74830625e+05 1.346748 Lin-Lin
 1.81066828e+05 1.505378 Lin-Lin
 1.84907562e+05 1.607542 Lin-Lin
 1.90000000e+05 1.768029 Lin-Lin
 1.95000000e+05 1.935114 Lin-Lin
 2.00000000e+05 2.137033 Lin-Lin
 2.05000000e+05 2.349052 Lin-Lin
 2.19016625e+05 2.983142 Lin-Lin
 2.23103797e+05 3.152704 Lin-Lin
 2.25500000e+05 3.241500 Lin-Lin
 2.27000000e+05 3.293907 Lin-Lin
 2.30000000e+05 3.382871 Lin-Lin
 2.33000000e+05 3.449864 Lin-Lin
 2.36000000e+05 3.493851 Lin-Lin
 2.39500000e+05 3.513000 Lin-Lin
 2.43385969e+05 3.491854 Lin-Lin
 2.46000000e+05 3.456897 Lin-Lin
 2.48000000e+05 3.418872 Lin-Lin
 2.51000000e+05 3.340908 Lin-Lin
 2.54000000e+05 3.247907 Lin-Lin
 2.58000000e+05 3.103919 Lin-Lin
 2.65862281e+05 2.783784 Lin-Lin
 2.75000000e+05 2.405046 Lin-Lin
 2.80000000e+05 2.212058 Lin-Lin
 2.85000000e+05 2.034058 Lin-Lin
 2.90000000e+05 1.871067 Lin-Lin
 2.95000000e+05 1.725060 Lin-Lin
 3.00000000e+05 1.594060 Lin-Lin
 3.05000000e+05 1.478048 Lin-Lin
 3.10000000e+05 1.374067 Lin-Lin
 3.20000000e+05 1.198844 Lin-Lin
 3.25000000e+05 1.074349 Lin-Lin
 3.60000000e+05 0.782100 Lin-Lin
 3.75000000e+05 0.724833 Lin-Lin
 3.80000000e+05 0.669129 Lin-Lin
 4.00000000e+05 0.558787 Lin-Lin
 4.25000000e+05 0.514991 Lin-Lin
 4.50000000e+05 0.462015 Lin-Lin
 4.75000000e+05 0.424008 Lin-Lin
 5.00000000e+05 0.394009 Lin-Lin
 5.50000000e+05 0.351008 Lin-Lin
 6.00000000e+05 0.323005 Lin-Lin
 6.50000000e+05 0.303003 Lin-Lin
 7.00000000e+05 0.288003 Lin-Lin
 8.00000000e+05 0.269002 Lin-Lin
 9.00000000e+05 0.257002 Lin-Lin
 1.00000000e+06 0.250001 Lin-Lin
 1.13125700e+06 0.246375 Lin-Lin
 1.20000000e+06 0.245001 Lin-Lin
 1.30917038e+06 0.246275 Lin-Lin
 1.40987575e+06 0.249494 Lin-Lin
 1.53189275e+06 0.255914 Lin-Lin
 1.61128662e+06 0.260451 Lin-Lin
 1.70000000e+06 0.263995 Lin-Lin
 1.76234462e+06 0.261259 Lin-Lin
 1.81269738e+06 0.257984 Lin-Lin
 1.91340275e+06 0.249660 Lin-Lin
 2.02821638e+06 0.237896 Lin-Lin
 2.12962725e+06 0.227037 Lin-Lin
 2.20000000e+06 0.219999 Lin-Lin
 2.25000000e+06 0.214001 Lin-Lin
 2.33244875e+06 0.206080 Lin-Lin
 2.51763525e+06 0.189589 Lin-Lin
 2.63668125e+06 0.179821 Lin-Lin
 2.76939875e+06 0.168448 Lin-Lin
 2.90000000e+06 0.158001 Lin-Lin
 3.04232450e+06 0.149630 Lin-Lin
 3.21380175e+06 0.140173 Lin-Lin
 3.50000000e+06 0.126001 Lin-Lin
 3.75000000e+06 0.116001 Lin-Lin
 4.18629375e+06 0.102784 Lin-Lin
 4.27998000e+06 0.100268 Lin-Lin
 4.53174350e+06 0.094214 Lin-Lin
 4.81701400e+06 0.088160 Lin-Lin
 5.07054100e+06 0.083202 Lin-Lin
 5.32406800e+06 0.078626 Lin-Lin
 5.57759500e+06 0.074374 Lin-Lin
 6.04232450e+06 0.067091 Lin-Lin
 6.33817600e+06 0.062901 Lin-Lin
 6.54585150e+06 0.060131 Lin-Lin
 7.00000000e+06 0.054500 Lin-Lin
 7.30114200e+06 0.051289 Lin-Lin
 7.55290600e+06 0.048813 Lin-Lin
 7.80466950e+06 0.046541 Lin-Lin
 8.00000000e+06 0.044900 Lin-Lin
 8.42541000e+06 0.041907 Lin-Lin
 8.55996000e+06 0.041064 Lin-Lin
 8.93604100e+06 0.039033 Lin-Lin
 9.18848700e+06 0.037871 Lin-Lin
 9.50000000e+06 0.036600 Lin-Lin
 9.88755500e+06 0.035415 Lin-Lin
 1.00000000e+07 0.035100 Lin-Lin
 1.01410820e+07 0.034790 Lin-Lin
 1.02841540e+07 0.034475 Lin-Lin
 1.04292450e+07 0.034156 Lin-Lin
 1.05000000e+07 0.034000 Lin-Lin
 1.06481360e+07 0.033733 Lin-Lin
 1.07983620e+07 0.033463 Lin-Lin
 1.09507080e+07 0.033189 Lin-Lin
 1.10000000e+07 0.033100 Lin-Lin
 1.11551900e+07 0.032883 Lin-Lin
 1.13125700e+07 0.032662 Lin-Lin
 1.14721700e+07 0.032439 Lin-Lin
 1.15000000e+07 0.032400 Lin-Lin
 1.16622440e+07 0.032205 Lin-Lin
 1.18267780e+07 0.032008 Lin-Lin
 1.19936320e+07 0.031808 Lin-Lin
 1.20000000e+07 0.031800 Lin-Lin
 1.21692980e+07 0.031563 Lin-Lin
 1.23409850e+07 0.031323 Lin-Lin
 1.25000000e+07 0.031100 Lin-Lin
 1.26763520e+07 0.030818 Lin-Lin
 1.28551930e+07 0.030532 Lin-Lin
 1.30000000e+07 0.030300 Lin-Lin
 1.31834070e+07 0.029970 Lin-Lin
 1.33694010e+07 0.029635 Lin-Lin
 1.35000000e+07 0.029400 Lin-Lin
 1.36904610e+07 0.028943 Lin-Lin
 1.38836080e+07 0.028479 Lin-Lin
 1.40794810e+07 0.028009 Lin-Lin
 1.42781170e+07 0.027533 Lin-Lin
 1.44795560e+07 0.027049 Lin-Lin
 1.45000000e+07 0.027000 Lin-Lin
 1.47045690e+07 0.026427 Lin-Lin
 1.49120240e+07 0.025846 Lin-Lin
 1.50000000e+07 0.025600 Lin-Lin
 1.52116230e+07 0.024965 Lin-Lin
 1.54262320e+07 0.024321 Lin-Lin
 1.56438680e+07 0.023668 Lin-Lin
 1.58645750e+07 0.023006 Lin-Lin
 1.60000000e+07 0.022600 Lin-Lin
 1.62257310e+07 0.022013 Lin-Lin
 1.64546470e+07 0.021418 Lin-Lin
 1.65000000e+07 0.021300 Lin-Lin
 1.67327850e+07 0.020741 Lin-Lin
 1.69688540e+07 0.020175 Lin-Lin
 1.70000000e+07 0.020100 Lin-Lin
 1.72398400e+07 0.019716 Lin-Lin
 1.74830620e+07 0.019327 Lin-Lin
 1.75000000e+07 0.019300 Lin-Lin
 1.77468940e+07 0.018658 Lin-Lin
 1.79972700e+07 0.018007 Lin-Lin
 1.80000000e+07 0.018000 Lin-Lin
 1.82539480e+07 0.017594 Lin-Lin
 1.85114780e+07 0.017182 Lin-Lin
 1.87726420e+07 0.016764 Lin-Lin
 1.90374900e+07 0.016340 Lin-Lin
 1.93060740e+07 0.015910 Lin-Lin
 1.95000000e+07 0.015600 Lin-Lin
 1.97751100e+07 0.015270 Lin-Lin
 2.00000000e+07 0.015000 Lin-Lin
