#E,eV        Sig,b        Interpolation
 1.10303699e-05 45020.160156 Lin-Lin
 1.21669100e-05 42865.906250 Lin-Lin
 1.34205502e-05 40814.734375 Lin-Lin
 1.48033596e-05 38861.710938 Lin-Lin
 1.63286495e-05 37002.144531 Lin-Lin
 1.80111092e-05 35231.558594 Lin-Lin
 1.98669095e-05 33545.699219 Lin-Lin
 2.19139401e-05 31940.507812 Lin-Lin
 2.41718899e-05 30412.125000 Lin-Lin
 2.66624793e-05 28956.878906 Lin-Lin
 2.94097099e-05 27571.265625 Lin-Lin
 3.24399916e-05 26251.957031 Lin-Lin
 3.57825083e-05 24995.777344 Lin-Lin
 3.94694289e-05 23799.707031 Lin-Lin
 4.35362417e-05 22660.871094 Lin-Lin
 4.80220806e-05 21576.527344 Lin-Lin
 5.29701283e-05 20544.072266 Lin-Lin
 5.84280097e-05 19561.019531 Lin-Lin
 6.44482498e-05 18625.007812 Lin-Lin
 7.10888125e-05 17733.785156 Lin-Lin
 7.84135773e-05 16885.207031 Lin-Lin
 8.64930771e-05 16077.235352 Lin-Lin
 9.54050629e-05 15307.925781 Lin-Lin
 1.05235304e-04 14575.427734 Lin-Lin
 1.16078401e-04 13877.980469 Lin-Lin
 1.28038795e-04 13213.907227 Lin-Lin
 1.41231503e-04 12581.609375 Lin-Lin
 1.55783593e-04 11979.568359 Lin-Lin
 1.71835098e-04 11406.335938 Lin-Lin
 1.89540398e-04 10860.532227 Lin-Lin
 2.09070102e-04 10340.845703 Lin-Lin
 2.30612000e-04 9846.027344 Lin-Lin
 2.54373590e-04 9374.885742 Lin-Lin
 2.80583510e-04 8926.289062 Lin-Lin
 3.09493887e-04 8499.158203 Lin-Lin
 3.41383187e-04 8092.466309 Lin-Lin
 3.76558310e-04 7705.234375 Lin-Lin
 4.15357703e-04 7336.532227 Lin-Lin
 4.58154886e-04 6985.472656 Lin-Lin
 5.05361822e-04 6651.211426 Lin-Lin
 5.57432824e-04 6332.944824 Lin-Lin
 6.14868884e-04 6029.907715 Lin-Lin
 6.78223209e-04 5741.371582 Lin-Lin
 7.48105173e-04 5466.641602 Lin-Lin
 8.25187715e-04 5205.058105 Lin-Lin
 9.10212519e-04 4955.991211 Lin-Lin
 1.00399798e-03 4718.842773 Lin-Lin
 1.10744685e-03 4493.041504 Lin-Lin
 1.22155494e-03 4278.045410 Lin-Lin
 1.34742016e-03 4073.337402 Lin-Lin
 1.48625416e-03 3878.424561 Lin-Lin
 1.63939327e-03 3692.838379 Lin-Lin
 1.80831144e-03 3516.132812 Lin-Lin
 1.99463428e-03 3347.882812 Lin-Lin
 2.20015529e-03 3187.683594 Lin-Lin
 2.42685270e-03 3035.150146 Lin-Lin
 2.67690816e-03 2889.915771 Lin-Lin
 2.95272865e-03 2751.630859 Lin-Lin
 3.25696869e-03 2619.963135 Lin-Lin
 3.59255681e-03 2494.595703 Lin-Lin
 3.96272307e-03 2375.227295 Lin-Lin
 4.37102979e-03 2261.571045 Lin-Lin
 4.82140761e-03 2153.353271 Lin-Lin
 5.31819044e-03 2050.313965 Lin-Lin
 5.86616062e-03 1952.205200 Lin-Lin
 6.47059223e-03 1858.791138 Lin-Lin
 7.13730184e-03 1769.847046 Lin-Lin
 7.87270814e-03 1685.159180 Lin-Lin
 8.68388731e-03 1604.523804 Lin-Lin
 9.57864895e-03 1527.746948 Lin-Lin
 1.05656041e-02 1454.644165 Lin-Lin
 1.16542513e-02 1385.039429 Lin-Lin
 1.28550697e-02 1318.765381 Lin-Lin
 1.41796172e-02 1255.662720 Lin-Lin
 1.56406406e-02 1195.579590 Lin-Lin
 1.72522049e-02 1138.371582 Lin-Lin
 1.90298203e-02 1083.901001 Lin-Lin
 2.09905952e-02 1032.036865 Lin-Lin
 2.31534019e-02 982.654541 Lin-Lin
 2.52418797e-02 941.126526 Lin-Lin
 2.52999999e-02 940.044922 Lin-Lin
 2.79068351e-02 895.064331 Lin-Lin
 3.07822693e-02 852.236023 Lin-Lin
 3.39539796e-02 811.456970 Lin-Lin
 3.74524966e-02 772.629150 Lin-Lin
 4.13114876e-02 735.659180 Lin-Lin
 4.55680974e-02 700.458069 Lin-Lin
 5.02632931e-02 666.941345 Lin-Lin
 5.54422699e-02 635.028320 Lin-Lin
 6.11548722e-02 604.642273 Lin-Lin
 6.74560815e-02 575.710083 Lin-Lin
 7.44065568e-02 548.162354 Lin-Lin
 8.20731744e-02 521.932922 Lin-Lin
 9.05297473e-02 496.959015 Lin-Lin
 9.98576581e-02 473.181244 Lin-Lin
 1.10146686e-01 450.543427 Lin-Lin
 1.21495865e-01 428.992706 Lin-Lin
 1.34014428e-01 408.478638 Lin-Lin
 1.47822872e-01 388.952698 Lin-Lin
 1.63054079e-01 370.366730 Lin-Lin
 1.79854676e-01 352.672546 Lin-Lin
 1.98386356e-01 335.823059 Lin-Lin
 2.18827486e-01 319.774109 Lin-Lin
 2.41374791e-01 304.485962 Lin-Lin
 2.66245306e-01 289.922363 Lin-Lin
 2.93678433e-01 276.049805 Lin-Lin
 3.23938161e-01 262.834198 Lin-Lin
 3.57315749e-01 250.249908 Lin-Lin
 3.94132465e-01 238.272400 Lin-Lin
 4.34742689e-01 226.873337 Lin-Lin
 4.79537249e-01 216.021484 Lin-Lin
 5.28947294e-01 205.689240 Lin-Lin
 5.83448410e-01 195.848938 Lin-Lin
 6.43565178e-01 186.471237 Lin-Lin
 7.09876180e-01 177.541626 Lin-Lin
 7.83019602e-01 169.046066 Lin-Lin
 8.63699555e-01 160.954132 Lin-Lin
