 9.99999975e-06 679.640503 Lin-Lin
 1.10303699e-05 647.119141 Lin-Lin
 1.21669100e-05 616.153931 Lin-Lin
 1.34205502e-05 586.670471 Lin-Lin
 1.48033596e-05 558.597839 Lin-Lin
 1.63286495e-05 531.868469 Lin-Lin
 1.80111092e-05 506.418182 Lin-Lin
 1.98669095e-05 482.185669 Lin-Lin
 2.19139401e-05 459.112732 Lin-Lin
 2.41718899e-05 437.143829 Lin-Lin
 2.66624793e-05 416.226196 Lin-Lin
 2.94097099e-05 396.309448 Lin-Lin
 3.24399916e-05 377.345764 Lin-Lin
 3.57825083e-05 359.289520 Lin-Lin
 3.94694289e-05 342.097290 Lin-Lin
 4.35362417e-05 325.727692 Lin-Lin
 4.80220806e-05 310.141418 Lin-Lin
 5.29701283e-05 295.300964 Lin-Lin
 5.84280097e-05 281.170654 Lin-Lin
 6.44482498e-05 267.716492 Lin-Lin
 7.10888125e-05 254.906128 Lin-Lin
 7.84135773e-05 242.708740 Lin-Lin
 8.64930771e-05 231.095032 Lin-Lin
 9.54050629e-05 220.037048 Lin-Lin
 1.05235304e-04 209.508194 Lin-Lin
 1.16078401e-04 199.483170 Lin-Lin
 1.28038795e-04 189.937851 Lin-Lin
 1.41231503e-04 180.849289 Lin-Lin
 1.55783593e-04 172.195633 Lin-Lin
 1.71835098e-04 163.956055 Lin-Lin
 1.89540398e-04 156.110764 Lin-Lin
 2.09070102e-04 148.640869 Lin-Lin
 2.30612000e-04 141.528427 Lin-Lin
 2.54373590e-04 134.756332 Lin-Lin
 2.80583510e-04 128.308273 Lin-Lin
 3.09493887e-04 122.168777 Lin-Lin
 3.41383187e-04 116.323067 Lin-Lin
 3.76558310e-04 110.757072 Lin-Lin
 4.15357703e-04 105.457420 Lin-Lin
 4.58154886e-04 100.411362 Lin-Lin
 5.05361822e-04 95.606766 Lin-Lin
 5.57432824e-04 91.032074 Lin-Lin
 6.14868884e-04 86.676277 Lin-Lin
 6.78223209e-04 82.528915 Lin-Lin
 7.48105173e-04 78.580002 Lin-Lin
 8.25187715e-04 74.820045 Lin-Lin
 9.10212519e-04 71.240005 Lin-Lin
 1.00399798e-03 67.831268 Lin-Lin
 1.10744685e-03 64.585632 Lin-Lin
 1.22155494e-03 61.495308 Lin-Lin
 1.34742016e-03 58.552845 Lin-Lin
 1.48625416e-03 55.751183 Lin-Lin
 1.63939327e-03 53.083572 Lin-Lin
 1.80831144e-03 50.543610 Lin-Lin
 1.99463428e-03 48.125183 Lin-Lin
 2.20015529e-03 45.822475 Lin-Lin
 2.42685270e-03 43.629951 Lin-Lin
 2.67690816e-03 41.542343 Lin-Lin
 2.95272865e-03 39.554626 Lin-Lin
 3.25696869e-03 37.662025 Lin-Lin
 3.59255681e-03 35.859982 Lin-Lin
 3.96272307e-03 34.144173 Lin-Lin
 4.37102979e-03 32.510464 Lin-Lin
 4.82140761e-03 30.954931 Lin-Lin
 5.31819044e-03 29.473835 Lin-Lin
 5.86616062e-03 28.063623 Lin-Lin
 6.47059223e-03 26.720909 Lin-Lin
 7.13730184e-03 25.442478 Lin-Lin
 7.87270814e-03 24.225283 Lin-Lin
 8.68388731e-03 23.066446 Lin-Lin
 9.57864895e-03 21.963287 Lin-Lin
 1.05656041e-02 20.913332 Lin-Lin
 1.16542513e-02 19.914343 Lin-Lin
 1.28550697e-02 18.964300 Lin-Lin
 1.41796172e-02 18.061274 Lin-Lin
 1.56406406e-02 17.203175 Lin-Lin
 1.72522049e-02 16.387419 Lin-Lin
 1.90298203e-02 15.610757 Lin-Lin
 2.11386643e-02 14.817707 Lin-Lin
 2.34800540e-02 14.061951 Lin-Lin
 2.52418797e-02 13.561786 Lin-Lin
 2.52999999e-02 13.546158 Lin-Lin
 2.79068351e-02 12.895269 Lin-Lin
 3.07822693e-02 12.274683 Lin-Lin
